timestamp,dc_id,sku_id,predicted_demand,opening_stock_units,expiring_within_24h_units,service_level_pct,forecast_hour_offset
2025-12-08 00:00:00,DC_DAMMAM,SKU_101,12.0,0,2,53.85,1
2025-12-08 00:00:00,DC_DAMMAM,SKU_102,11.0,6,0,91.67,1
2025-12-08 00:00:00,DC_DAMMAM,SKU_103,9.0,601,9,100.0,1
2025-12-08 00:00:00,DC_DAMMAM,SKU_201,10.0,116,4,100.0,1
2025-12-08 00:00:00,DC_DAMMAM,SKU_202,13.0,248,0,100.0,1
2025-12-08 00:00:00,DC_DAMMAM,SKU_301,9.0,722,0,100.0,1
2025-12-08 00:00:00,DC_DAMMAM,SKU_302,9.0,1,0,60.0,1
2025-12-08 00:00:00,DC_DAMMAM,SKU_303,7.0,465,2,100.0,1
2025-12-08 00:00:00,DC_DAMMAM,SKU_304,9.0,0,0,66.67,1
2025-12-08 00:00:00,DC_DAMMAM,SKU_305,8.0,440,3,100.0,1
2025-12-08 00:00:00,DC_DAMMAM,SKU_306,8.0,8,1,100.0,1
2025-12-08 00:00:00,DC_DAMMAM,SKU_401,12.0,0,0,60.0,1
2025-12-08 00:00:00,DC_DAMMAM,SKU_402,10.0,2,4,100.0,1
2025-12-08 00:00:00,DC_DAMMAM,SKU_501,12.0,5,0,78.57,1
2025-12-08 00:00:00,DC_DAMMAM,SKU_502,9.0,121,0,100.0,1
2025-12-08 00:00:00,DC_DAMMAM,SKU_503,9.0,402,1,100.0,1
2025-12-08 00:00:00,DC_DUBAI,SKU_101,11.0,496,0,92.86,1
2025-12-08 00:00:00,DC_DUBAI,SKU_102,13.0,0,4,43.75,1
2025-12-08 00:00:00,DC_DUBAI,SKU_103,11.0,198,0,100.0,1
2025-12-08 00:00:00,DC_DUBAI,SKU_201,10.0,0,2,60.0,1
2025-12-08 00:00:00,DC_DUBAI,SKU_202,12.0,0,7,81.82,1
2025-12-08 00:00:00,DC_DUBAI,SKU_301,9.0,585,3,100.0,1
2025-12-08 00:00:00,DC_DUBAI,SKU_302,8.0,1,1,100.0,1
2025-12-08 00:00:00,DC_DUBAI,SKU_303,8.0,3,2,100.0,1
2025-12-08 00:00:00,DC_DUBAI,SKU_304,9.0,472,2,100.0,1
2025-12-08 00:00:00,DC_DUBAI,SKU_305,8.0,0,0,80.0,1
2025-12-08 00:00:00,DC_DUBAI,SKU_306,9.0,183,0,100.0,1
2025-12-08 00:00:00,DC_DUBAI,SKU_401,8.0,117,2,100.0,1
2025-12-08 00:00:00,DC_DUBAI,SKU_402,9.0,519,4,100.0,1
2025-12-08 00:00:00,DC_DUBAI,SKU_501,9.0,98,1,100.0,1
2025-12-08 00:00:00,DC_DUBAI,SKU_502,10.0,617,4,100.0,1
2025-12-08 00:00:00,DC_DUBAI,SKU_503,10.0,550,1,100.0,1
2025-12-08 00:00:00,DC_JEDDAH,SKU_101,11.0,213,1,100.0,1
2025-12-08 00:00:00,DC_JEDDAH,SKU_102,9.0,704,0,100.0,1
2025-12-08 00:00:00,DC_JEDDAH,SKU_103,8.0,0,0,100.0,1
2025-12-08 00:00:00,DC_JEDDAH,SKU_201,9.0,3,2,87.5,1
2025-12-08 00:00:00,DC_JEDDAH,SKU_202,15.0,0,1,100.0,1
2025-12-08 00:00:00,DC_JEDDAH,SKU_301,8.0,0,2,100.0,1
2025-12-08 00:00:00,DC_JEDDAH,SKU_302,8.0,501,5,100.0,1
2025-12-08 00:00:00,DC_JEDDAH,SKU_303,9.0,29,4,87.5,1
2025-12-08 00:00:00,DC_JEDDAH,SKU_304,8.0,84,0,100.0,1
2025-12-08 00:00:00,DC_JEDDAH,SKU_305,8.0,455,2,100.0,1
2025-12-08 00:00:00,DC_JEDDAH,SKU_306,9.0,0,0,100.0,1
2025-12-08 00:00:00,DC_JEDDAH,SKU_401,12.0,178,2,100.0,1
2025-12-08 00:00:00,DC_JEDDAH,SKU_402,9.0,470,0,100.0,1
2025-12-08 00:00:00,DC_JEDDAH,SKU_501,10.0,481,0,100.0,1
2025-12-08 00:00:00,DC_JEDDAH,SKU_502,10.0,0,1,75.0,1
2025-12-08 00:00:00,DC_JEDDAH,SKU_503,9.0,529,6,100.0,1
2025-12-08 00:00:00,DC_RIYADH,SKU_101,11.0,300,1,100.0,1
2025-12-08 00:00:00,DC_RIYADH,SKU_102,12.0,24,5,100.0,1
2025-12-08 00:00:00,DC_RIYADH,SKU_103,11.0,0,2,100.0,1
