timestamp,store_id,sku_id,predicted_demand,on_shelf_units,planogram_capacity_units,waste_units,waste_cost,forecast_hour_offset
2025-12-08 00:00:00,ST_DUBAI_HYPER_01,SKU_101,2.0,58,126,5,30.150000000000002,1
2025-12-08 00:00:00,ST_DUBAI_HYPER_01,SKU_102,1.0,37,99,2,11.02,1
2025-12-08 00:00:00,ST_DUBAI_HYPER_01,SKU_103,2.0,9,112,0,0.0,1
2025-12-08 00:00:00,ST_DUBAI_HYPER_01,SKU_201,1.0,-4,89,0,0.0,1
2025-12-08 00:00:00,ST_DUBAI_HYPER_01,SKU_202,6.0,9,93,0,0.0,1
2025-12-08 00:00:00,ST_DUBAI_HYPER_01,SKU_301,1.0,-1,71,0,0.0,1
2025-12-08 00:00:00,ST_DUBAI_HYPER_01,SKU_302,3.0,49,49,16,178.24,1
2025-12-08 00:00:00,ST_DUBAI_HYPER_01,SKU_303,1.0,0,71,0,0.0,1
2025-12-08 00:00:00,ST_DUBAI_HYPER_01,SKU_304,2.0,69,69,17,130.39,1
2025-12-08 00:00:00,ST_DUBAI_HYPER_01,SKU_305,2.0,65,65,17,179.52,1
2025-12-08 00:00:00,ST_DUBAI_HYPER_01,SKU_306,2.0,6,40,0,0.0,1
2025-12-08 00:00:00,ST_DUBAI_HYPER_01,SKU_401,1.0,0,117,0,0.0,1
2025-12-08 00:00:00,ST_DUBAI_HYPER_01,SKU_402,1.0,0,78,0,0.0,1
2025-12-08 00:00:00,ST_DUBAI_HYPER_01,SKU_501,1.0,0,99,0,0.0,1
2025-12-08 00:00:00,ST_DUBAI_HYPER_01,SKU_502,2.0,49,91,0,0.0,1
2025-12-08 00:00:00,ST_DUBAI_HYPER_01,SKU_503,1.0,-15,108,0,0.0,1
2025-12-08 00:00:00,ST_JEDDAH_MALL_01,SKU_101,1.0,0,97,0,0.0,1
2025-12-08 00:00:00,ST_JEDDAH_MALL_01,SKU_102,3.0,51,113,5,18.45,1
2025-12-08 00:00:00,ST_JEDDAH_MALL_01,SKU_103,3.0,88,88,0,0.0,1
2025-12-08 00:00:00,ST_JEDDAH_MALL_01,SKU_201,3.0,137,137,16,102.88,1
2025-12-08 00:00:00,ST_JEDDAH_MALL_01,SKU_202,5.0,52,114,6,25.740000000000002,1
2025-12-08 00:00:00,ST_JEDDAH_MALL_01,SKU_301,4.0,88,88,18,242.82,1
2025-12-08 00:00:00,ST_JEDDAH_MALL_01,SKU_302,3.0,14,72,2,29.32,1
2025-12-08 00:00:00,ST_JEDDAH_MALL_01,SKU_303,1.0,-3,42,1,12.59,1
2025-12-08 00:00:00,ST_JEDDAH_MALL_01,SKU_304,1.0,31,73,4,54.76,1
2025-12-08 00:00:00,ST_JEDDAH_MALL_01,SKU_305,1.0,0,61,0,0.0,1
2025-12-08 00:00:00,ST_JEDDAH_MALL_01,SKU_306,3.0,42,78,5,66.25,1
2025-12-08 00:00:00,ST_JEDDAH_MALL_01,SKU_401,1.0,0,109,0,0.0,1
2025-12-08 00:00:00,ST_JEDDAH_MALL_01,SKU_402,2.0,89,89,0,0.0,1
2025-12-08 00:00:00,ST_JEDDAH_MALL_01,SKU_501,2.0,11,75,0,0.0,1
2025-12-08 00:00:00,ST_JEDDAH_MALL_01,SKU_502,1.0,0,98,3,23.79,1
2025-12-08 00:00:00,ST_JEDDAH_MALL_01,SKU_503,1.0,-3,103,0,0.0,1
2025-12-08 00:00:00,ST_RIYADH_MALL_01,SKU_101,4.0,83,123,7,32.97,1
2025-12-08 00:00:00,ST_RIYADH_MALL_01,SKU_102,1.0,0,123,0,0.0,1
2025-12-08 00:00:00,ST_RIYADH_MALL_01,SKU_103,3.0,96,139,7,27.72,1
2025-12-08 00:00:00,ST_RIYADH_MALL_01,SKU_201,2.0,46,93,10,64.9,1
2025-12-08 00:00:00,ST_RIYADH_MALL_01,SKU_202,3.0,76,83,10,45.9,1
2025-12-08 00:00:00,ST_RIYADH_MALL_01,SKU_301,1.0,51,75,5,55.0,1
2025-12-08 00:00:00,ST_RIYADH_MALL_01,SKU_302,2.0,15,53,2,19.46,1
2025-12-08 00:00:00,ST_RIYADH_MALL_01,SKU_303,1.0,-6,63,1,7.1,1
2025-12-08 00:00:00,ST_RIYADH_MALL_01,SKU_304,1.0,6,46,0,0.0,1
2025-12-08 00:00:00,ST_RIYADH_MALL_01,SKU_305,1.0,-2,57,0,0.0,1
2025-12-08 00:00:00,ST_RIYADH_MALL_01,SKU_306,1.0,-4,57,0,0.0,1
2025-12-08 00:00:00,ST_RIYADH_MALL_01,SKU_401,3.0,54,114,0,0.0,1
2025-12-08 00:00:00,ST_RIYADH_MALL_01,SKU_402,1.0,-13,93,0,0.0,1
2025-12-08 00:00:00,ST_RIYADH_MALL_01,SKU_501,2.0,36,98,1,7.61,1
2025-12-08 00:00:00,ST_RIYADH_MALL_01,SKU_502,2.0,109,109,7,45.080000000000005,1
2025-12-08 00:00:00,ST_RIYADH_MALL_01,SKU_503,1.0,-18,68,0,0.0,1
2025-12-08 00:00:00,ST_RIYADH_STREET_01,SKU_101,2.0,98,121,6,41.519999999999996,1
2025-12-08 00:00:00,ST_RIYADH_STREET_01,SKU_102,2.0,82,84,11,42.9,1
2025-12-08 00:00:00,ST_RIYADH_STREET_01,SKU_103,1.0,-5,122,0,0.0,1
2025-12-08 00:00:00,ST_RIYADH_STREET_01,SKU_201,2.0,10,91,1,4.67,1
2025-12-08 00:00:00,ST_RIYADH_STREET_01,SKU_202,3.0,105,113,8,32.96,1
2025-12-08 00:00:00,ST_RIYADH_STREET_01,SKU_301,1.0,0,63,0,0.0,1
2025-12-08 00:00:00,ST_RIYADH_STREET_01,SKU_302,1.0,-1,65,0,0.0,1
2025-12-08 00:00:00,ST_RIYADH_STREET_01,SKU_303,1.0,0,73,0,0.0,1
2025-12-08 00:00:00,ST_RIYADH_STREET_01,SKU_304,2.0,15,86,1,11.98,1
2025-12-08 00:00:00,ST_RIYADH_STREET_01,SKU_305,2.0,76,76,20,213.2,1
2025-12-08 00:00:00,ST_RIYADH_STREET_01,SKU_306,2.0,70,80,9,82.35000000000001,1
2025-12-08 00:00:00,ST_RIYADH_STREET_01,SKU_401,1.0,-4,77,1,13.68,1
2025-12-08 00:00:00,ST_RIYADH_STREET_01,SKU_402,3.0,61,61,10,117.69999999999999,1
2025-12-08 00:00:00,ST_RIYADH_STREET_01,SKU_501,2.0,64,90,1,9.83,1
2025-12-08 00:00:00,ST_RIYADH_STREET_01,SKU_502,1.0,-1,65,0,0.0,1
2025-12-08 00:00:00,ST_RIYADH_STREET_01,SKU_503,1.0,47,60,2,12.9,1
2025-12-08 01:00:00,ST_DUBAI_HYPER_01,SKU_101,2.0,58,126,5,30.150000000000002,2
2025-12-08 01:00:00,ST_DUBAI_HYPER_01,SKU_102,2.0,37,99,2,11.02,2
2025-12-08 01:00:00,ST_DUBAI_HYPER_01,SKU_103,2.0,9,112,0,0.0,2
2025-12-08 01:00:00,ST_DUBAI_HYPER_01,SKU_201,1.0,-4,89,0,0.0,2
2025-12-08 01:00:00,ST_DUBAI_HYPER_01,SKU_202,6.0,9,93,0,0.0,2
2025-12-08 01:00:00,ST_DUBAI_HYPER_01,SKU_301,1.0,-1,71,0,0.0,2
2025-12-08 01:00:00,ST_DUBAI_HYPER_01,SKU_302,3.0,49,49,16,178.24,2
2025-12-08 01:00:00,ST_DUBAI_HYPER_01,SKU_303,1.0,0,71,0,0.0,2
2025-12-08 01:00:00,ST_DUBAI_HYPER_01,SKU_304,2.0,69,69,17,130.39,2
2025-12-08 01:00:00,ST_DUBAI_HYPER_01,SKU_305,2.0,65,65,17,179.52,2
2025-12-08 01:00:00,ST_DUBAI_HYPER_01,SKU_306,1.0,6,40,0,0.0,2
2025-12-08 01:00:00,ST_DUBAI_HYPER_01,SKU_401,1.0,0,117,0,0.0,2
2025-12-08 01:00:00,ST_DUBAI_HYPER_01,SKU_402,1.0,0,78,0,0.0,2
2025-12-08 01:00:00,ST_DUBAI_HYPER_01,SKU_501,1.0,0,99,0,0.0,2
2025-12-08 01:00:00,ST_DUBAI_HYPER_01,SKU_502,2.0,49,91,0,0.0,2
2025-12-08 01:00:00,ST_DUBAI_HYPER_01,SKU_503,1.0,-15,108,0,0.0,2
2025-12-08 01:00:00,ST_JEDDAH_MALL_01,SKU_101,1.0,0,97,0,0.0,2
2025-12-08 01:00:00,ST_JEDDAH_MALL_01,SKU_102,5.0,51,113,5,18.45,2
2025-12-08 01:00:00,ST_JEDDAH_MALL_01,SKU_103,3.0,88,88,0,0.0,2
2025-12-08 01:00:00,ST_JEDDAH_MALL_01,SKU_201,3.0,137,137,16,102.88,2
2025-12-08 01:00:00,ST_JEDDAH_MALL_01,SKU_202,5.0,52,114,6,25.740000000000002,2
2025-12-08 01:00:00,ST_JEDDAH_MALL_01,SKU_301,5.0,88,88,18,242.82,2
2025-12-08 01:00:00,ST_JEDDAH_MALL_01,SKU_302,4.0,14,72,2,29.32,2
